2023-12-05 20:58:15.590355461 95
2023-12-05 20:58:15.617326701 60
2023-12-05 20:58:15.644285860 181
2023-12-05 20:58:15.670556297 60
2023-12-05 20:58:15.699976177 105
2023-12-05 20:58:15.746932383 116
2023-12-05 20:58:15.769330324 60
2023-12-05 20:58:15.795951200 144
2023-12-05 20:58:15.835529389 60
2023-12-05 20:58:15.843764246 85
2023-12-05 20:58:15.895875411 62
2023-12-05 20:58:15.934053664 60
2023-12-05 20:58:15.945835359 151
2023-12-05 20:58:15.980815180 60
2023-12-05 20:58:15.994600796 83
2023-12-05 20:58:16.020115817 60
2023-12-05 20:58:16.053344588 62
2023-12-05 20:58:16.066142580 60
2023-12-05 20:58:16.090808815 179
2023-12-05 20:58:16.121377990 60
2023-12-05 20:58:16.144888653 124
2023-12-05 20:58:16.194604622 73
2023-12-05 20:58:16.220617488 60
2023-12-05 20:58:16.244718310 177
2023-12-05 20:58:16.278077335 60
2023-12-05 20:58:16.294381207 124
2023-12-05 20:58:16.318372154 60
2023-12-05 20:58:16.366349181 60
2023-12-05 20:58:16.394472493 197
2023-12-05 20:58:16.442728343 82
2023-12-05 20:58:16.444548610 126
2023-12-05 20:58:16.494384977 95
2023-12-05 20:58:16.521077855 60
2023-12-05 20:58:16.544441718 179
2023-12-05 20:58:16.567591643 60
2023-12-05 20:58:16.594444014 85
2023-12-05 20:58:16.627277569 60
2023-12-05 20:58:16.644527062 95
2023-12-05 20:58:16.697860567 158
2023-12-05 20:58:16.724532486 60
2023-12-05 20:58:16.758930793 85
2023-12-05 20:58:16.770569619 60
2023-12-05 20:58:16.790551051 103
2023-12-05 20:58:16.820564371 60
2023-12-05 20:58:16.847104982 132
2023-12-05 20:58:16.895579216 77
2023-12-05 20:58:16.933268714 60
2023-12-05 20:58:16.944989774 62
2023-12-05 20:58:16.973320743 60
2023-12-05 20:58:16.994747454 153
2023-12-05 20:58:17.028784401 60
2023-12-05 20:58:17.044343000 77
2023-12-05 20:58:17.081505365 60
2023-12-05 20:58:17.094118592 62
2023-12-05 20:58:17.144364806 150
2023-12-05 20:58:17.170781987 60
2023-12-05 20:58:17.196443301 137
2023-12-05 20:58:17.270551500 60
